CustomerID,Gender,Age,Country,MonthlyCharges,TotalCharges,Churn
C001,Male,25,USA,70.5,1410.0,No
C002,Female,34,Canada,55.2,1324.8,No
C003,Male,45,USA,89.9,2157.6,Yes
C004,Female,29,UK,65.0,780.0,No
C005,Male,52,USA,99.5,2388.0,Yes
C006,Female,41,India,45.0,1080.0,No
C007,Male,38,India,75.3,1807.2,Yes
C008,Female,26,UK,60.0,720.0,No
C009,Male,61,USA,110.0,2640.0,Yes
C010,Female,33,Canada,58.4,,No
C011,Male,47,USA,92.1,2209.0,Yes
C012,Female,22,India,40.0,480.0,No
C013,Male,36,UK,68.7,1648.8,No
C014,Female,49,USA,85.5,2052.0,Yes
C015,Male,28,Canada,59.9,1437.6,No
C016,Female,55,USA,105.0,2520.0,Yes
C017,Male,31,India,50.0,600.0,No
C018,Female,44,UK,77.8,1867.2,Yes
C019,Male,39,USA,72.4,1737.6,No
C020,Female,27,Canada,57.0,684.0,No
C021,Male,63,USA,115.0,2760.0,Yes
C022,Female,35,India,48.5,1164.0,No
C023,Male,,USA,95.0,1900.0,Yes
C024,Female,42,uk,80.0,1920.0,Yes
C025,Male,29, Canada ,60.5,726.0,No
C026,Female,120,USA,150.0,9000.0,Yes
C027,Male,37,India,0,0,No
C028,Female,33,USA,65.0,1300.0,No
C028,Female,33,USA,65.0,1300.0,No
C029,,46,UK,78.5,1884.0,Yes
C030,Male,41,USA,not_known,2100.0,Yes
