OrderID,City,Customer,Product,Jan,Feb,Mar
101,NY,C1,Phone,500,550,600
102,NY,C2,Laptop,800,820,850
103,NY,C3,Tablet,300,310,330
104,LA,C1,Phone,450,470,500
105,LA,C2,Tablet,320,350,380
106,LA,C3,Laptop,700,720,750
107,Chicago,C1,Laptop,600,620,650
108,Chicago,C2,Phone,480,500,530
109,Chicago,C3,Tablet,350,370,390
110,NY,C4,Tablet,400,420,450
111,LA,C4,Phone,520,540,580
112,Chicago,C4,Laptop,750,780,820
113,NY,C5,Phone,610,630,670
114,LA,C5,Tablet,330,360,390
115,Chicago,C5,Laptop,820,850,900
116,NY,C6,Tablet,390,410,440
117,LA,C6,Phone,510,530,560
118,Chicago,C6,Laptop,770,800,830
119,NY,C7,Phone,430,460,490
120,LA,C7,Tablet,340,360,380
